127.0.0.1, 2019-01-26 16:06:12, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.010778
127.0.0.1, 2019-01-26 16:06:41, GET, /init/default/student, HTTP/1.1, 200, 0.014765
127.0.0.1, 2019-01-26 16:06:57, GET, /init/default/student, HTTP/1.1, 200, 0.012581
127.0.0.1, 2019-01-26 16:07:50, GET, /init/default/student, HTTP/1.1, 200, 0.014994
127.0.0.1, 2019-01-26 16:09:19, GET, /init/default/student, HTTP/1.1, 200, 0.015110
127.0.0.1, 2019-01-26 16:10:13, GET, /init/default/student, HTTP/1.1, 200, 0.012231
127.0.0.1, 2019-01-26 16:25:44, GET, /init/default/student, HTTP/1.1, 200, 0.012561
127.0.0.1, 2019-01-26 16:26:17, GET, /init/default/student, HTTP/1.1, 200, 0.018500
127.0.0.1, 2019-01-26 16:26:17, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002158
127.0.0.1, 2019-01-26 16:26:17, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002677
127.0.0.1, 2019-01-26 16:26:17, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.002861
127.0.0.1, 2019-01-26 16:26:17, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.001911
127.0.0.1, 2019-01-26 16:26:17, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.003823
127.0.0.1, 2019-01-26 16:26:17, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.012056
127.0.0.1, 2019-01-26 16:26:17, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001034
127.0.0.1, 2019-01-26 16:26:17, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.019159
127.0.0.1, 2019-01-26 16:26:17, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.038897
127.0.0.1, 2019-01-26 16:27:34, GET, /init/default/student, HTTP/1.1, 200, 0.013478
127.0.0.1, 2019-01-26 16:33:41, GET, /init/default/student, HTTP/1.1, 200, 15.226724
127.0.0.1, 2019-01-26 16:33:41, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000934
127.0.0.1, 2019-01-26 16:34:40, GET, /init/default/student, HTTP/1.1, 200, 0.032125
127.0.0.1, 2019-01-26 16:34:40, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001526
127.0.0.1, 2019-01-26 16:34:40, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.002680
127.0.0.1, 2019-01-26 16:34:40, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001152
127.0.0.1, 2019-01-26 16:34:59, GET, /init/static/css/bootstrap.min.css.map, HTTP/1.1, 200, 0.001089
127.0.0.1, 2019-01-26 16:35:33, GET, /init/default/student, HTTP/1.1, 200, 0.014624
127.0.0.1, 2019-01-26 16:35:33, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000962
127.0.0.1, 2019-01-26 16:35:33, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.001226
127.0.0.1, 2019-01-26 16:35:33, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.003048
127.0.0.1, 2019-01-26 16:36:40, GET, /init/default/student, HTTP/1.1, 200, 0.016655
127.0.0.1, 2019-01-26 16:36:40, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000908
127.0.0.1, 2019-01-26 16:36:40, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001790
127.0.0.1, 2019-01-26 16:36:40, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.002496
127.0.0.1, 2019-01-26 16:37:27, GET, /init/default/student, HTTP/1.1, 200, 0.014614
127.0.0.1, 2019-01-26 16:37:27, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.001253
127.0.0.1, 2019-01-26 16:37:27, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004107
127.0.0.1, 2019-01-26 16:37:27, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002900
127.0.0.1, 2019-01-26 16:37:38, GET, /init/default/student, HTTP/1.1, 200, 0.018129
127.0.0.1, 2019-01-26 16:37:38, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001412
127.0.0.1, 2019-01-26 16:37:38, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.002303
127.0.0.1, 2019-01-26 16:37:38, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.006620
127.0.0.1, 2019-01-26 16:46:26, GET, /init/default/student, HTTP/1.1, 200, 0.015010
127.0.0.1, 2019-01-26 16:46:26, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.001870
